Year,Species,Population,Region,Conservation Status,Gender Ratio,Habitat Area(km²),Primary Threat,Mortality Rate(%/year),Breeding Pairs,Average Lifespan,Human Settlements(count within 10km)
1900,Asiatic Lion,2483,Gujarat,Critically Endangered,86.59,38659.21,Disease,7.95,976,21,28
1900,Asiatic Lion,203,West Bengal,Vulnerable,115.73,37239.64,Habitat Loss,13.54,74,21,16
1900,Asiatic Lion,2346,Madhya Pradesh,Critically Endangered,100.82,39581.14,Habitat Loss,8.89,834,21,44
1900,Asiatic Lion,1170,Sikkim,Vulnerable,106.3,21992.73,Human Conflict,12.88,340,21,46
1900,Asiatic Lion,1957,Sikkim,Critically Endangered,87.94,18134.62,Disease,12.57,516,21,35
1900,Asiatic Lion,2125,West Bengal,Endangered,102.73,27329.58,Human Conflict,5.35,528,21,34
1900,Asiatic Lion,1569,Maharashtra,Critically Endangered,88.72,46602.25,Disease,5.74,544,21,17
1900,Asiatic Lion,2701,Tamil Nadu,Vulnerable,97.54,43362.84,Habitat Loss,10.05,563,21,21
1900,Asiatic Lion,1134,Uttarakhand,Endangered,88.38,29451.41,Human Conflict,4.69,304,21,26
1900,Bengal Tiger,2375,Uttarakhand,Critically Endangered,81.15,41540.21,Disease,7.76,515,22,43
1900,Bengal Tiger,466,Maharashtra,Endangered,119.9,43847.2,Human Conflict,11.2,116,22,36
1900,Bengal Tiger,2550,Gujarat,Critically Endangered,89.42,46887.51,Habitat Loss,7.11,748,22,46
1900,Bengal Tiger,2912,Sikkim,Endangered,81.85,42227.55,Poaching,7.7,994,22,12
1900,Bengal Tiger,2707,Maharashtra,Vulnerable,112,37334.6,Habitat Loss,4.06,773,22,17
1900,Bengal Tiger,1899,Maharashtra,Vulnerable,107.04,13424.28,Human Conflict,9.37,602,22,17
1900,Bengal Tiger,2546,Kerala,Vulnerable,98.94,10170.26,Habitat Loss,10.04,949,22,4
1900,Bengal Tiger,1649,Maharashtra,Vulnerable,114.61,2403.4,Habitat Loss,2.87,380,22,20
1900,Bengal Tiger,2155,Gujarat,Endangered,84.46,15741.45,Disease,3.64,508,22,22
1900,Blackbuck,1817,Maharashtra,Vulnerable,109.37,37186.26,Climate Change,2.34,513,14,31
1900,Blackbuck,5236,Gujarat,Critically Endangered,116.52,13747.36,Poaching,5.84,2083,14,24
1900,Blackbuck,7225,Uttarakhand,Vulnerable,101.7,3724.2,Poaching,5.32,2083,14,34
1900,Blackbuck,11675,Sikkim,Critically Endangered,86.01,32792.26,Poaching,2.35,4197,14,26
1900,Blackbuck,3825,Maharashtra,Critically Endangered,88.59,16849.22,Climate Change,11.75,847,14,29
1900,Blackbuck,11643,Kerala,Critically Endangered,86.97,27914.86,Human Conflict,2.62,2404,14,30
1900,Blackbuck,5067,Uttarakhand,Vulnerable,103.54,16503.72,Habitat Loss,8.79,1518,14,15
1900,Blackbuck,11263,Uttarakhand,Vulnerable,119.78,40814.54,Climate Change,8.8,2540,14,29
1900,Blackbuck,8740,Kerala,Endangered,96.05,48829.12,Climate Change,11.23,3451,14,5
1900,Indian Elephant,293,Assam,Endangered,81.7,16641.69,Poaching,12.74,97,65,38
1900,Indian Elephant,1597,West Bengal,Vulnerable,96.91,8937.28,Poaching,13.54,622,65,42
1900,Indian Elephant,3779,Madhya Pradesh,Endangered,87.38,23258.48,Climate Change,7.43,1266,65,5
1900,Indian Elephant,7187,Gujarat,Endangered,114.02,7748.03,Poaching,12.26,2489,65,46
1900,Indian Elephant,6953,Gujarat,Endangered,108.84,35978.03,Habitat Loss,3.23,2593,65,0
1900,Indian Elephant,3110,West Bengal,Endangered,99.94,17864.85,Climate Change,14.51,999,65,12
1900,Indian Elephant,5268,Assam,Endangered,96.81,16423.22,Poaching,5.78,1204,65,40
1900,Indian Elephant,2106,Karnataka,Critically Endangered,89.35,20444.9,Climate Change,4.84,497,65,11
1900,Indian Elephant,249,West Bengal,Critically Endangered,82.85,44159.08,Human Conflict,3.12,63,65,2
1900,Indian Elephant,4453,West Bengal,Critically Endangered,85.77,34803.48,Habitat Loss,5.92,1277,65,26
1900,Indian Elephant,7901,Gujarat,Critically Endangered,96.84,42479.14,Poaching,14.37,2003,65,29
1900,Indian Elephant,3996,Sikkim,Vulnerable,81.57,30445.72,Climate Change,12.09,1063,65,11
1900,Indian Gaur,2841,Tamil Nadu,Endangered,89.89,9453.38,Climate Change,12.03,623,22,33
1900,Indian Gaur,10744,Sikkim,Endangered,103.91,35265.74,Habitat Loss,7.53,3755,22,14
